,Psicológica,Física,Económica,Sexual,Laboral,Institucional,En línea,Años,Ambito,Jerárquico
175,0,0,0,0,0,1,0,De 0 a 5 años.,"Privado (radio, diarios tv, medios digitales)",0
176,1,0,0,0,0,1,1,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",0
177,0,0,0,0,0,0,0,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",0
178,1,0,1,1,0,1,1,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",0
179,0,0,0,0,0,0,0,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",0
180,0,0,0,0,0,0,0,De 16 a 20 años.,"Público (medios universitarios, nacionales o provinciales)",0
181,0,0,0,0,0,0,0,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",1
182,1,0,0,1,0,1,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
183,0,0,1,0,0,1,0,De 16 a 20 años.,Público y privado,0
184,0,0,0,0,0,0,0,De 0 a 5 años.,"Público (medios universitarios, nacionales o provinciales)",0
185,1,1,0,0,0,0,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
186,1,0,0,0,0,1,0,De 11 a 15 años.,"Público (medios universitarios, nacionales o provinciales)",0
187,0,0,1,1,0,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
188,1,0,0,1,1,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
189,1,0,1,1,0,1,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
190,0,0,0,0,0,0,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
191,1,1,1,1,0,1,1,Más de 20 años.,"Público (medios universitarios, nacionales o provinciales)",0
192,1,0,0,1,0,1,0,Más de 20 años.,Público y privado,0
193,1,0,0,1,0,0,0,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",1
194,0,0,0,0,0,0,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
195,1,0,1,1,0,1,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
196,1,0,0,1,0,1,1,Más de 20 años.,Público y privado,1
197,1,0,0,0,1,1,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
198,1,0,1,0,0,1,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
199,1,0,1,0,0,0,0,Más de 20 años.,Público y privado,0
200,1,0,0,0,0,1,1,De 11 a 15 años.,Público y privado,0
201,0,0,0,0,0,0,0,De 0 a 5 años.,"Privado (radio, diarios tv, medios digitales)",0
202,1,1,0,0,0,1,0,Más de 20 años.,"Público (medios universitarios, nacionales o provinciales)",0
203,0,0,0,0,0,1,0,De 16 a 20 años.,Público y privado,0
204,1,0,1,1,0,1,0,Más de 20 años.,Público y privado,0
205,1,0,0,0,0,0,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
206,0,0,0,0,0,0,0,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",1
207,1,0,1,0,1,1,1,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",0
208,1,0,0,0,0,1,1,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",1
209,0,0,0,1,0,1,0,De 11 a 15 años.,"Público (medios universitarios, nacionales o provinciales)",0
210,1,1,1,1,0,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
211,1,0,0,1,0,1,0,De 11 a 15 años.,Público y privado,0
212,1,0,1,0,0,1,0,De 0 a 5 años.,Público y privado,0
213,1,0,1,1,0,1,1,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",0
214,1,0,1,0,0,0,0,De 0 a 5 años.,"Público (medios universitarios, nacionales o provinciales)",0
